items,count,total,rnd,customer,age,city,paymentType
"root vegetables,whole milk,condensed milk,frozen vegetables,rolls/buns,white bread",6,1164,11,Hanan,22,Fayoum,Cash
"frankfurter,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,dessert,whipped/sour cream,soft cheese,cream cheese ,frozen vegetables,frozen meals,frozen potato products,domestic eggs,white bread,semi-finished bread,oil,instant coffee,soda,fruit/vegetable juice,flower (seeds)",23,1826,1,Farida,22,Cairo,Credit
hamburger meat,1,172,6,Walaa,29,Cairo,Cash
"UHT-milk,ice cream,bottled water,soda,shopping bags",5,1199,4,Adel,50,Alexandria,Credit
"frankfurter,sausage,chicken,citrus fruit,root vegetables,other vegetables,frozen vegetables,rice,newspapers",9,2238,15,Sameh,35,Hurghada,Cash
"pastry,soda",2,394,6,Walaa,29,Cairo,Cash
"other vegetables,rolls/buns,bottled beer",3,1717,12,Eman,23,Aswan,Cash
"onions,other vegetables,soda,fruit/vegetable juice",4,787,13,Sayed,37,Cairo,Credit
"pastry,canned beer,male cosmetics,newspapers",4,1446,13,Sayed,37,Cairo,Credit
"citrus fruit,root vegetables,whole milk,yogurt,whipped/sour cream,condensed milk,rolls/buns,flour,long life bakery product",9,1811,9,Maged,60,Hurghada,Cash
hamburger meat,1,2291,7,Huda,39,Gharbia,Credit
"chicken,citrus fruit,root vegetables,other vegetables,butter,sweet spreads,coffee",7,2209,13,Sayed,37,Cairo,Cash
"whole milk,white bread,flour,sugar,pot plants",5,2161,9,Maged,60,Hurghada,Credit
"chicken,whole milk,semi-finished bread,jam,coffee,soda,napkins,shopping bags",8,820,13,Sayed,37,Cairo,Cash
shopping bags,1,792,10,Samy,55,Alexandria,Cash
"citrus fruit,root vegetables,margarine,misc. beverages,long life bakery product,waffles",6,261,2,Mohamed,25,Alexandria,Credit
"citrus fruit,root vegetables,herbs,other vegetables,butter,whipped/sour cream,mayonnaise,rum,waffles",9,621,13,Sayed,37,Cairo,Cash
"chicken,yogurt,whipped/sour cream,frozen dessert,soda,pot plants",6,1073,8,Rania,37,Dakahlia,Cash
bottled beer,1,2190,4,Adel,50,Alexandria,Cash
specialty chocolate,1,2494,12,Eman,23,Aswan,Credit
"other vegetables,whole milk,yogurt",3,1723,5,Shimaa,55,Port Said,Credit
"pork,root vegetables,whole milk,UHT-milk,frozen meals,softener,shopping bags",7,797,1,Farida,22,Cairo,Cash
whole milk,1,153,1,Farida,22,Cairo,Cash
"beef,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,mayonnaise",9,2348,1,Farida,22,Cairo,Credit
"sausage,meat,tropical fruit,rolls/buns,margarine,bottled water,bottled beer,skin care,hygiene articles,shopping bags",10,1618,4,Adel,50,Alexandria,Cash
"root vegetables,herbs,other vegetables,whole milk,butter milk,whipped/sour cream,shopping bags",7,1613,11,Hanan,22,Fayoum,Cash
"chicken,pip fruit,whole milk,rolls/buns,brown bread,pastry,semi-finished bread,margarine,bottled water,newspapers",10,763,10,Samy,55,Alexandria,Credit
"turkey,beef,other vegetables,whipped/sour cream,baking powder,cat food,chocolate",7,879,14,Magdy,36,Sohag,Credit
soda,1,740,6,Walaa,29,Cairo,Cash
"root vegetables,herbs,whole milk,butter,curd,rolls/buns,soda,chocolate,candy",9,1797,11,Hanan,22,Fayoum,Cash
"sausage,whole milk,semi-finished bread,flour,fruit/vegetable juice,napkins",6,610,7,Huda,39,Gharbia,Credit
"pastry,soda,canned beer,white wine,newspapers",5,1669,8,Rania,37,Dakahlia,Cash
"sausage,citrus fruit,pip fruit,whole milk,dessert,domestic eggs,brown bread,margarine,specialty chocolate",9,2086,2,Mohamed,25,Alexandria,Cash
"yogurt,rolls/buns",2,1494,8,Rania,37,Dakahlia,Credit
"pip fruit,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,sliced cheese,domestic eggs,soups,coffee,detergent",11,1044,14,Magdy,36,Sohag,Credit
"sausage,whole milk,yogurt,hard cheese,domestic eggs,brown bread,salty snack,waffles,chocolate,newspapers",10,1402,5,Shimaa,55,Port Said,Credit
"ham,chicken,citrus fruit,other vegetables,whole milk,yogurt,whipped/sour cream,bottled beer,chocolate,softener,pot plants",11,654,5,Shimaa,55,Port Said,Cash
"meat,whole milk,dessert,soft cheese,frozen meals,rolls/buns,misc. beverages,long life bakery product,chocolate,specialty bar",10,919,6,Walaa,29,Cairo,Credit
"other vegetables,butter,fruit/vegetable juice,salty snack,chocolate",5,1062,14,Magdy,36,Sohag,Cash
"meat,chicken,citrus fruit,other vegetables,whole milk,yogurt,frozen vegetables,white bread,napkins",9,739,12,Eman,23,Aswan,Cash
rolls/buns,1,2217,10,Samy,55,Alexandria,Credit
"chicken,hamburger meat,grapes,other vegetables,whipped/sour cream,brown bread,canned beer,sparkling wine,flower (seeds)",9,1771,3,Ahmed,30,Giza,Cash
"sausage,root vegetables,whole milk,yogurt",4,1172,8,Rania,37,Dakahlia,Cash
canned beer,1,540,2,Mohamed,25,Alexandria,Credit
yogurt,1,692,6,Walaa,29,Cairo,Credit
"chicken,hamburger meat,other vegetables,frozen vegetables,rolls/buns,pastry",6,419,2,Mohamed,25,Alexandria,Cash
"hamburger meat,shopping bags",2,874,6,Walaa,29,Cairo,Credit
"whole milk,curd,pastry",3,1983,1,Farida,22,Cairo,Cash
"frankfurter,pip fruit,whole milk,soda",4,1615,11,Hanan,22,Fayoum,Cash
newspapers,1,2496,6,Walaa,29,Cairo,Credit
"whole milk,mayonnaise,soda,newspapers",4,1899,8,Rania,37,Dakahlia,Credit
"rolls/buns,canned beer",2,1811,2,Mohamed,25,Alexandria,Credit
"other vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,waffles,seasonal products",7,719,14,Magdy,36,Sohag,Cash
"sausage,butter",2,1441,2,Mohamed,25,Alexandria,Credit
"sausage,tropical fruit,root vegetables,other vegetables,whole milk,frozen vegetables,domestic eggs,flour,margarine,sugar,ketchup,baking powder,canned vegetables,bottled water,cooking chocolate,newspapers",16,1015,5,Shimaa,55,Port Said,Cash
canned beer,1,1109,5,Shimaa,55,Port Said,Cash
"tropical fruit,berries,root vegetables,other vegetables,whole milk,cream cheese ,frozen meals,white bread,soda,salty snack,napkins,shopping bags",12,870,11,Hanan,22,Fayoum,Credit
"condensed milk,soda",2,1414,12,Eman,23,Aswan,Credit
"margarine,long life bakery product,candles",3,1471,14,Magdy,36,Sohag,Credit
"whole milk,pet care",2,236,12,Eman,23,Aswan,Credit
"yogurt,bottled water,canned beer,napkins",4,328,6,Walaa,29,Cairo,Credit
"processed cheese,rolls/buns,soda,flower (seeds)",4,183,9,Maged,60,Hurghada,Credit
"grapes,rolls/buns,pastry,bottled beer",4,440,4,Adel,50,Alexandria,Credit
canned beer,1,1840,8,Rania,37,Dakahlia,Credit
soda,1,531,1,Farida,22,Cairo,Cash
"whole milk,rolls/buns,newspapers",3,1861,12,Eman,23,Aswan,Cash
"sausage,other vegetables,whole milk,yogurt,cream,frozen vegetables,frozen potato products,roll products ,rice,cat food,misc. beverages,fruit/vegetable juice,bottled beer,salty snack,specialty chocolate",15,1540,2,Mohamed,25,Alexandria,Cash
"pork,beverages,white bread",3,533,4,Adel,50,Alexandria,Credit
"pork,pip fruit,root vegetables,curd,yogurt,whipped/sour cream,UHT-milk,domestic eggs,salt,margarine,ketchup",11,597,5,Shimaa,55,Port Said,Cash
"turkey,beef,semi-finished bread",3,1576,9,Maged,60,Hurghada,Credit
"other vegetables,napkins",2,2324,13,Sayed,37,Cairo,Cash
whipped/sour cream,1,1370,2,Mohamed,25,Alexandria,Credit
"hard cheese,salt,canned vegetables",3,1166,15,Sameh,35,Hurghada,Credit
"pork,hamburger meat,other vegetables,whole milk,brown bread,margarine,bottled water,bottled beer,flower (seeds)",9,2324,6,Walaa,29,Cairo,Credit
"citrus fruit,berries,curd,yogurt,soda",5,1022,2,Mohamed,25,Alexandria,Credit
"sausage,pot plants",2,2257,8,Rania,37,Dakahlia,Cash
"citrus fruit,other vegetables,frozen meals,domestic eggs,fruit/vegetable juice,pot plants",6,1677,2,Mohamed,25,Alexandria,Credit
"other vegetables,curd cheese",2,2312,1,Farida,22,Cairo,Cash
"Instant food products,long life bakery product,specialty chocolate,cling film/bags,house keeping products",5,1559,4,Adel,50,Alexandria,Cash
"sausage,root vegetables,ice cream,white bread,salt",5,1336,13,Sayed,37,Cairo,Cash
"frankfurter,pip fruit,hard cheese,bottled water,chocolate",5,979,9,Maged,60,Hurghada,Cash
"chicken,flower (seeds)",2,2210,8,Rania,37,Dakahlia,Credit
"other vegetables,newspapers",2,1793,12,Eman,23,Aswan,Credit
"chicken,turkey,citrus fruit,tropical fruit,berries,onions,whole milk,yogurt,whipped/sour cream,rolls/buns,pastry,margarine,cat food,soda,kitchen utensil,pot plants",16,1233,9,Maged,60,Hurghada,Credit
"chicken,other vegetables,dessert,soda",4,2383,5,Shimaa,55,Port Said,Cash
"ham,tropical fruit,butter,cream cheese ,domestic eggs,white bread,pastry,tea,fruit/vegetable juice,chocolate,shopping bags",11,636,15,Sameh,35,Hurghada,Credit
"pip fruit,whole milk,yogurt,specialty cheese,domestic eggs,salty snack,photo/film",7,520,11,Hanan,22,Fayoum,Cash
"sausage,chicken,pork,root vegetables,other vegetables,whole milk,rolls/buns,fruit/vegetable juice,canned beer",9,175,3,Ahmed,30,Giza,Credit
"ham,beef,other vegetables,yogurt,canned fish",5,2439,6,Walaa,29,Cairo,Cash
other vegetables,1,1163,6,Walaa,29,Cairo,Cash
"sausage,citrus fruit,other vegetables",3,664,3,Ahmed,30,Giza,Credit
"tropical fruit,other vegetables,whole milk,dessert,bottled water,soda,canned beer,seasonal products",8,1488,4,Adel,50,Alexandria,Cash
"ham,tropical fruit,newspapers",3,890,12,Eman,23,Aswan,Credit
"tropical fruit,rolls/buns,chocolate,chocolate marshmallow,newspapers",5,919,9,Maged,60,Hurghada,Credit
canned beer,1,233,2,Mohamed,25,Alexandria,Credit
"sugar,white wine,newspapers",3,1789,5,Shimaa,55,Port Said,Credit
"bottled water,soda",2,1297,14,Magdy,36,Sohag,Credit
"whole milk,yogurt,bottled beer",3,2333,11,Hanan,22,Fayoum,Credit
"pip fruit,other vegetables,butter milk,specialty cheese,frozen vegetables,white bread,sugar,coffee",8,1449,4,Adel,50,Alexandria,Credit
"rolls/buns,coffee,salty snack,long life bakery product,waffles",5,2423,8,Rania,37,Dakahlia,Credit
"whole milk,whipped/sour cream,domestic eggs,bottled water,soda,specialty chocolate,pot plants",7,1543,1,Farida,22,Cairo,Credit
"hamburger meat,berries,other vegetables",3,1376,13,Sayed,37,Cairo,Credit
"soda,candy",2,2193,5,Shimaa,55,Port Said,Credit
"whipped/sour cream,long life bakery product,napkins,pot plants",4,2258,2,Mohamed,25,Alexandria,Cash
"organic sausage,other vegetables,liquor (appetizer),red/blush wine",4,1549,4,Adel,50,Alexandria,Credit
"onions,other vegetables",2,1235,6,Walaa,29,Cairo,Cash
"sausage,chicken,pork,other vegetables,whole milk,butter,yogurt,margarine,fruit/vegetable juice,bottled beer",10,2279,1,Farida,22,Cairo,Cash
"sausage,beef,citrus fruit,tropical fruit,berries,root vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,cling film/bags",12,2088,14,Magdy,36,Sohag,Cash
"root vegetables,other vegetables,whole milk,pastry,cling film/bags,shopping bags",6,1632,4,Adel,50,Alexandria,Credit
"root vegetables,other vegetables,butter,rolls/buns,flour,bottled water,liquor,candy",8,1712,6,Walaa,29,Cairo,Credit
"pork,onions,other vegetables,butter,dessert,beverages,UHT-milk,specialty cheese,frozen vegetables,rolls/buns,coffee,shopping bags",12,1623,15,Sameh,35,Hurghada,Cash
"whole milk,curd,soda,light bulbs,pot plants,shopping bags",6,1101,3,Ahmed,30,Giza,Credit
"ham,organic sausage,tropical fruit,pip fruit,onions,other vegetables,whole milk,butter,curd,yogurt,sliced cheese,salt,margarine,jam,bottled beer,chewing gum,abrasive cleaner",17,1032,14,Magdy,36,Sohag,Cash
"frankfurter,meat,beef,other vegetables,frozen vegetables,white bread,pastry,soups,pickled vegetables,specialty vegetables,cat food,soda",12,2101,10,Samy,55,Alexandria,Cash
"UHT-milk,bottled water,chewing gum,cling film/bags,shopping bags",5,1933,7,Huda,39,Gharbia,Cash
"frozen vegetables,soda",2,1044,4,Adel,50,Alexandria,Credit
"pip fruit,frozen meals,ice cream,fruit/vegetable juice",4,1094,12,Eman,23,Aswan,Cash
"tropical fruit,root vegetables,domestic eggs",3,947,11,Hanan,22,Fayoum,Cash
"meat,organic sausage,citrus fruit,whole milk,oil,soups",6,173,10,Samy,55,Alexandria,Cash
"other vegetables,white bread,soda,bottled beer",4,290,3,Ahmed,30,Giza,Cash
"root vegetables,other vegetables,sparkling wine,popcorn,shopping bags",5,2456,10,Samy,55,Alexandria,Cash
liqueur,1,2438,5,Shimaa,55,Port Said,Credit
soda,1,1299,11,Hanan,22,Fayoum,Cash
"margarine,soda",2,1537,6,Walaa,29,Cairo,Cash
"frankfurter,beef,pip fruit,root vegetables,other vegetables,curd,yogurt,margarine,sugar",9,911,1,Farida,22,Cairo,Cash
sugar,1,1659,11,Hanan,22,Fayoum,Credit
"sausage,tropical fruit,butter milk,spread cheese,tidbits,bottled water,soda,bottled beer",8,1776,14,Magdy,36,Sohag,Cash
"chicken,root vegetables,other vegetables,whipped/sour cream,margarine,sauces,canned beer,shopping bags",8,2477,2,Mohamed,25,Alexandria,Credit
"domestic eggs,pastry",2,924,10,Samy,55,Alexandria,Cash
"condensed milk,pastry,female sanitary products,shopping bags",4,552,1,Farida,22,Cairo,Credit
"canned beer,shopping bags",2,1985,6,Walaa,29,Cairo,Cash
"frankfurter,meat,pork,citrus fruit,yogurt,whipped/sour cream,frozen vegetables,frozen potato products,soda",9,1627,4,Adel,50,Alexandria,Credit
"pork,tropical fruit,yogurt,sugar,bottled water,light bulbs",6,1342,4,Adel,50,Alexandria,Credit
whole milk,1,1600,6,Walaa,29,Cairo,Credit
"tropical fruit,whole milk,beverages,rolls/buns",4,1391,3,Ahmed,30,Giza,Credit
"pork,tropical fruit,yogurt,white bread,fruit/vegetable juice",5,1085,3,Ahmed,30,Giza,Cash
"root vegetables,other vegetables,specialty chocolate",3,167,10,Samy,55,Alexandria,Credit
"citrus fruit,soda,misc. beverages",3,1090,15,Sameh,35,Hurghada,Credit
house keeping products,1,1105,5,Shimaa,55,Port Said,Cash
pip fruit,1,605,4,Adel,50,Alexandria,Cash
"ham,pip fruit,yogurt,frozen meals,bottled water,soda,napkins",7,1743,10,Samy,55,Alexandria,Credit
"waffles,newspapers",2,659,9,Maged,60,Hurghada,Credit
"beverages,UHT-milk,zwieback,misc. beverages",4,243,1,Farida,22,Cairo,Credit
beverages,1,444,5,Shimaa,55,Port Said,Cash
"citrus fruit,pip fruit,berries,frozen fish,white bread,pastry,long life bakery product,waffles,specialty bar,newspapers",10,815,11,Hanan,22,Fayoum,Credit
"ice cream,white bread,red/blush wine,salty snack,chocolate,specialty chocolate,dental care",7,1389,12,Eman,23,Aswan,Credit
"salty snack,chocolate",2,2424,7,Huda,39,Gharbia,Credit
rolls/buns,1,2028,6,Walaa,29,Cairo,Credit
"white bread,brown bread",2,2495,7,Huda,39,Gharbia,Credit
"tropical fruit,pip fruit,berries,ice cream,white bread",5,1172,7,Huda,39,Gharbia,Credit
chocolate,1,2271,7,Huda,39,Gharbia,Cash
"whole milk,frozen vegetables,pastry,cleaner",4,2439,9,Maged,60,Hurghada,Cash
yogurt,1,835,14,Magdy,36,Sohag,Credit
"coffee,red/blush wine",2,274,3,Ahmed,30,Giza,Cash
soda,1,986,6,Walaa,29,Cairo,Cash
"butter milk,hard cheese,instant coffee",3,319,5,Shimaa,55,Port Said,Cash
"pork,root vegetables,other vegetables,pastry",4,1397,2,Mohamed,25,Alexandria,Credit
"condensed milk,tidbits,rolls/buns,coffee,bottled water,soda,misc. beverages,cake bar",8,2230,8,Rania,37,Dakahlia,Cash
"sugar,coffee",2,1506,10,Samy,55,Alexandria,Credit
"frankfurter,sausage,onions,other vegetables,curd,dessert,condensed milk,soft cheese,rolls/buns,pastry,potato products,soda,rum,specialty chocolate,shopping bags",15,594,7,Huda,39,Gharbia,Cash
"sausage,packaged fruit/vegetables,yogurt,rolls/buns,seasonal products",5,168,14,Magdy,36,Sohag,Cash
bottled water,1,529,7,Huda,39,Gharbia,Cash
"sausage,beef,tropical fruit,root vegetables,other vegetables,whole milk,brown bread,newspapers",8,851,14,Magdy,36,Sohag,Cash
salty snack,1,1696,7,Huda,39,Gharbia,Cash
light bulbs,1,1930,6,Walaa,29,Cairo,Cash
"onions,whole milk,canned beer,hygiene articles,shopping bags",5,186,5,Shimaa,55,Port Said,Cash
"tropical fruit,whole milk,yogurt,ice cream,bottled water,soda,hygiene articles,napkins",8,1606,3,Ahmed,30,Giza,Credit
"soups,canned vegetables",2,1674,1,Farida,22,Cairo,Cash
whole milk,1,1625,4,Adel,50,Alexandria,Credit
"bottled water,soda,female sanitary products",3,440,7,Huda,39,Gharbia,Credit
"other vegetables,whole milk,brown bread",3,299,3,Ahmed,30,Giza,Cash
"soda,bottled beer,liquor",3,1129,2,Mohamed,25,Alexandria,Credit
"frankfurter,other vegetables",2,270,14,Magdy,36,Sohag,Cash
"domestic eggs,pastry,hygiene articles",3,126,9,Maged,60,Hurghada,Credit
"curd cheese,bottled beer",2,906,5,Shimaa,55,Port Said,Credit
"butter,hard cheese,white bread,chocolate,candy",5,1170,7,Huda,39,Gharbia,Credit
"whole milk,cream cheese ,roll products ,napkins,dishes,cling film/bags",6,464,10,Samy,55,Alexandria,Cash
pastry,1,320,12,Eman,23,Aswan,Credit
"tropical fruit,oil",2,1747,1,Farida,22,Cairo,Credit
"misc. beverages,canned beer",2,898,5,Shimaa,55,Port Said,Cash
other vegetables,1,400,1,Farida,22,Cairo,Cash
"root vegetables,bottled beer,chocolate",3,1054,8,Rania,37,Dakahlia,Credit
"ham,tropical fruit,dog food,soda,canned beer",5,2371,2,Mohamed,25,Alexandria,Credit
rolls/buns,1,660,13,Sayed,37,Cairo,Cash
"pastry,soda",2,520,4,Adel,50,Alexandria,Credit
fruit/vegetable juice,1,626,14,Magdy,36,Sohag,Credit
chewing gum,1,379,7,Huda,39,Gharbia,Cash
"sausage,root vegetables,packaged fruit/vegetables,yogurt,frozen potato products,brown bread,soda,candy",8,699,9,Maged,60,Hurghada,Credit
"other vegetables,condensed milk,coffee,detergent",4,2358,6,Walaa,29,Cairo,Credit
"whole milk,pastry",2,2234,15,Sameh,35,Hurghada,Credit
"root vegetables,onions,other vegetables,whole milk",4,2412,7,Huda,39,Gharbia,Credit
ice cream,1,1098,4,Adel,50,Alexandria,Cash
canned beer,1,1586,2,Mohamed,25,Alexandria,Credit
"tropical fruit,other vegetables,yogurt,chewing gum",4,1317,6,Walaa,29,Cairo,Credit
"citrus fruit,other vegetables,packaged fruit/vegetables,yogurt,margarine,sugar,artif. sweetener,baking powder,candles",9,1882,9,Maged,60,Hurghada,Credit
"specialty chocolate,photo/film",2,1024,6,Walaa,29,Cairo,Credit
candy,1,790,7,Huda,39,Gharbia,Cash
"margarine,pickled vegetables,coffee,bottled beer,chocolate marshmallow",5,549,12,Eman,23,Aswan,Cash
"other vegetables,frozen meals,domestic eggs",3,2345,12,Eman,23,Aswan,Credit
"tropical fruit,other vegetables,newspapers",3,396,1,Farida,22,Cairo,Credit
"tropical fruit,other vegetables,yogurt",3,709,1,Farida,22,Cairo,Cash
specialty chocolate,1,677,10,Samy,55,Alexandria,Cash
"frankfurter,sausage,tropical fruit,whole milk,yogurt,whipped/sour cream,white bread,flour,oil,soda,hygiene articles",11,966,11,Hanan,22,Fayoum,Credit
"misc. beverages,waffles,candy",3,545,14,Magdy,36,Sohag,Credit
"tropical fruit,grapes,other vegetables,curd,beverages,pastry,nut snack",7,1964,13,Sayed,37,Cairo,Cash
"ham,whole milk,white bread,bottled beer",4,2416,3,Ahmed,30,Giza,Cash
"other vegetables,soft cheese,frozen meals,brown bread,canned fish",5,2324,12,Eman,23,Aswan,Credit
"tropical fruit,root vegetables,other vegetables,curd,yogurt,whipped/sour cream,cream cheese ,margarine,bottled water,newspapers",10,1702,5,Shimaa,55,Port Said,Credit
canned beer,1,1475,13,Sayed,37,Cairo,Credit
beef,1,305,6,Walaa,29,Cairo,Credit
"hamburger meat,whole milk,coffee",3,2479,15,Sameh,35,Hurghada,Credit
"whole milk,dessert,beverages,detergent,flower (seeds)",5,1155,3,Ahmed,30,Giza,Cash
"finished products,beef,citrus fruit,yogurt,frozen potato products,pastry,soups,coffee,candy",9,136,9,Maged,60,Hurghada,Credit
"other vegetables,yogurt,white bread",3,739,12,Eman,23,Aswan,Cash
"citrus fruit,other vegetables,UHT-milk,rolls/buns,flour",5,1778,6,Walaa,29,Cairo,Cash
"sausage,other vegetables,rolls/buns,fruit/vegetable juice",4,1024,13,Sayed,37,Cairo,Cash
"sausage,yogurt,rolls/buns",3,365,7,Huda,39,Gharbia,Credit
"pork,newspapers",2,1330,12,Eman,23,Aswan,Credit
"berries,other vegetables,yogurt,margarine,mustard,fruit/vegetable juice,detergent",7,1726,10,Samy,55,Alexandria,Cash
"sausage,pip fruit,processed cheese,frozen meals,pastry,semi-finished bread,dog food,syrup",8,1190,9,Maged,60,Hurghada,Cash
"berries,pastry,sugar,soda,chocolate,make up remover",6,1220,3,Ahmed,30,Giza,Credit
"sausage,liver loaf,ham,pip fruit,yogurt,soft cheese,sliced cheese,rolls/buns,white bread,brown bread,pastry,soda,canned beer,newspapers,shopping bags",15,2340,12,Eman,23,Aswan,Cash
pasta,1,763,1,Farida,22,Cairo,Cash
"other vegetables,chocolate marshmallow",2,703,9,Maged,60,Hurghada,Cash
"sausage,beef,hamburger meat,other vegetables,whole milk,butter,domestic eggs,roll products ,sauces,bottled beer",10,1810,14,Magdy,36,Sohag,Cash
"other vegetables,curd,soups,pudding powder,canned fish",5,1539,14,Magdy,36,Sohag,Credit
"frankfurter,sausage,pork,pip fruit,onions,whole milk,domestic eggs,brown bread,hygiene articles,newspapers",10,1314,12,Eman,23,Aswan,Cash
sausage,1,2375,2,Mohamed,25,Alexandria,Credit
"UHT-milk,brown bread,mustard,coffee,soda,dish cleaner",6,714,5,Shimaa,55,Port Said,Cash
"whole milk,butter",2,211,5,Shimaa,55,Port Said,Credit
"misc. beverages,napkins",2,2050,5,Shimaa,55,Port Said,Cash
"liver loaf,dessert,domestic eggs,soda,cleaner,shopping bags",6,341,7,Huda,39,Gharbia,Credit
"pet care,bottled water,soda,liquor (appetizer)",4,2310,8,Rania,37,Dakahlia,Cash
"whole milk,whipped/sour cream,cream cheese ,soda",4,201,1,Farida,22,Cairo,Credit
"chicken,other vegetables",2,1374,1,Farida,22,Cairo,Cash
"dessert,long life bakery product",2,1745,13,Sayed,37,Cairo,Credit
"pork,beef,soda,canned beer",4,910,3,Ahmed,30,Giza,Credit
"beef,root vegetables,packaged fruit/vegetables,whole milk,rolls/buns,pastry,oil,bottled water,soda,canned beer",10,1707,3,Ahmed,30,Giza,Credit
"soda,soap",2,211,3,Ahmed,30,Giza,Credit
"pet care,coffee,bottled beer",3,1164,14,Magdy,36,Sohag,Cash
"root vegetables,whipped/sour cream",2,640,14,Magdy,36,Sohag,Cash
"tropical fruit,pip fruit,whole milk,yogurt,frozen meals,rolls/buns,soda,candy,kitchen towels",9,1839,5,Shimaa,55,Port Said,Cash
"chicken,root vegetables,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,soda",8,1685,10,Samy,55,Alexandria,Cash
"soda,misc. beverages",2,1562,8,Rania,37,Dakahlia,Cash
"chicken,root vegetables",2,2499,5,Shimaa,55,Port Said,Credit
"tropical fruit,yogurt,beverages,UHT-milk,fruit/vegetable juice,hygiene articles",6,1782,15,Sameh,35,Hurghada,Cash
"beverages,specialty bar",2,1192,3,Ahmed,30,Giza,Credit
onions,1,223,1,Farida,22,Cairo,Cash
"whole milk,bottled beer,rum",3,1263,11,Hanan,22,Fayoum,Cash
"chicken,soda",2,760,11,Hanan,22,Fayoum,Credit
"tropical fruit,yogurt,frozen dessert,domestic eggs,tea",5,867,10,Samy,55,Alexandria,Cash
"citrus fruit,bottled water,dishes",3,729,6,Walaa,29,Cairo,Credit
"semi-finished bread,bottled beer,liquor",3,1733,10,Samy,55,Alexandria,Credit
"tropical fruit,other vegetables,curd,dessert,sliced cheese,white bread,soda,fruit/vegetable juice",8,384,1,Farida,22,Cairo,Credit
"hamburger meat,citrus fruit,tropical fruit,whole milk,yogurt,brown bread,napkins,shopping bags",8,1970,9,Maged,60,Hurghada,Cash
"sausage,hamburger meat,whole milk,dessert,rolls/buns,specialty chocolate,detergent",7,1513,10,Samy,55,Alexandria,Credit
"tropical fruit,other vegetables,pastry,long life bakery product,waffles,chocolate,specialty bar,shopping bags",8,2047,4,Adel,50,Alexandria,Credit
curd,1,876,2,Mohamed,25,Alexandria,Credit
"tropical fruit,yogurt,rolls/buns",3,1297,11,Hanan,22,Fayoum,Cash
"tropical fruit,other vegetables,pickled vegetables",3,1753,11,Hanan,22,Fayoum,Credit
"whole milk,whipped/sour cream,pastry,salty snack,long life bakery product,chewing gum",6,1346,4,Adel,50,Alexandria,Cash
zwieback,1,2139,13,Sayed,37,Cairo,Credit
"cream cheese ,spread cheese",2,1768,11,Hanan,22,Fayoum,Cash
"rolls/buns,specialty bar",2,908,11,Hanan,22,Fayoum,Credit
"meat,tropical fruit,other vegetables,candy",4,1671,9,Maged,60,Hurghada,Cash
"brown bread,sauces,pet care",3,1242,5,Shimaa,55,Port Said,Cash
soda,1,1933,12,Eman,23,Aswan,Credit
"UHT-milk,brown bread,coffee,shopping bags",4,1688,13,Sayed,37,Cairo,Cash
"frankfurter,organic sausage,whole milk,chewing gum",4,1604,2,Mohamed,25,Alexandria,Credit
"meat,chicken,root vegetables,other vegetables,whole milk,whipped/sour cream,rolls/buns,abrasive cleaner,cleaner,napkins,house keeping products",11,243,3,Ahmed,30,Giza,Credit
whole milk,1,418,12,Eman,23,Aswan,Credit
"sausage,hamburger meat,packaged fruit/vegetables,whole milk,processed cheese,frozen vegetables,rolls/buns,white bread,tea,long life bakery product,cling film/bags,photo/film",12,2192,8,Rania,37,Dakahlia,Credit
"herbs,other vegetables,sliced cheese,cream cheese ,salt,oil,margarine,fruit/vegetable juice,bottled beer,chewing gum,hygiene articles",11,785,6,Walaa,29,Cairo,Cash
"whole milk,butter milk",2,2337,5,Shimaa,55,Port Said,Credit
other vegetables,1,1500,12,Eman,23,Aswan,Credit
"brown bread,jam,fruit/vegetable juice",3,1139,12,Eman,23,Aswan,Credit
whipped/sour cream,1,879,9,Maged,60,Hurghada,Cash
"other vegetables,baking powder,napkins",3,213,6,Walaa,29,Cairo,Credit
"pork,tropical fruit,whole milk,rolls/buns,chocolate,newspapers",6,1532,13,Sayed,37,Cairo,Credit
flower soil/fertilizer,1,2286,4,Adel,50,Alexandria,Credit
"whole milk,bottled water",2,572,9,Maged,60,Hurghada,Credit
"grapes,root vegetables,whole milk,curd,whipped/sour cream,jam",6,2213,14,Magdy,36,Sohag,Cash
"liver loaf,pork,citrus fruit,other vegetables,yogurt,misc. beverages",6,1142,5,Shimaa,55,Port Said,Credit
rolls/buns,1,2328,4,Adel,50,Alexandria,Cash
"citrus fruit,tropical fruit,onions,whole milk,domestic eggs,cat food",6,2098,14,Magdy,36,Sohag,Credit
"sausage,whole milk",2,473,14,Magdy,36,Sohag,Credit
"pastry,jam",2,241,10,Samy,55,Alexandria,Credit
"beverages,bottled water,long life bakery product",3,1977,3,Ahmed,30,Giza,Cash
"beverages,brown bread,pastry,soda,newspapers,shopping bags",6,546,11,Hanan,22,Fayoum,Credit
